text,true_label,true_label_name,predicted_label,predicted_label_name
What fruit is Melba sauce made from ?,1,ENTY,1,ENTY
What is Ursa Major ?,2,DESC,2,DESC
What is the percentage of water content in the human body ?,5,NUM,5,NUM
How much does water weigh ?,5,NUM,5,NUM
What was President Lyndon Johnson 's reform program called ?,1,ENTY,1,ENTY
"What is the murder rate in Windsor , Ontario ?",5,NUM,5,NUM
Who is the only president to serve 2 non-consecutive terms ?,3,HUM,3,HUM
What is the population of Australia ?,5,NUM,1,ENTY
Who painted the ceiling of the Sistine Chapel ?,3,HUM,3,HUM
Name a stimulant .,1,ENTY,3,HUM
What is the effect of volcanoes on the climate ?,2,DESC,2,DESC
What year did the Andy Griffith show begin ?,5,NUM,5,NUM
What is acid rain ?,2,DESC,2,DESC
What is the date of Mexico 's independence ?,5,NUM,1,ENTY
What is the location of Lake Champlain ?,4,LOC,1,ENTY
What is the Illinois state flower ?,1,ENTY,1,ENTY
What is Maryland 's state bird ?,1,ENTY,1,ENTY
What is quicksilver ?,2,DESC,2,DESC
Who wrote `` The Divine Comedy '' ?,3,HUM,3,HUM
What is the speed of light ?,5,NUM,2,DESC
What is the width of a football field ?,5,NUM,1,ENTY
Why in tennis are zero points called love ?,2,DESC,2,DESC
What kind of dog was Toto in the Wizard of Oz ?,1,ENTY,1,ENTY
What is a thyroid ?,2,DESC,2,DESC
What does ciao mean ?,2,DESC,2,DESC
What is the only artery that carries blue blood from the heart to the lungs ?,1,ENTY,1,ENTY
How often does Old Faithful erupt at Yellowstone National Park ?,5,NUM,5,NUM
What is acetic acid ?,2,DESC,2,DESC
"What is the elevation of St. Louis , MO ?",5,NUM,1,ENTY
What color does litmus paper turn when it comes into contact with a strong acid ?,1,ENTY,1,ENTY
What are the colors of the German flag ?,1,ENTY,1,ENTY
What is the Moulin Rouge ?,2,DESC,2,DESC
What soviet seaport is on the Black Sea ?,4,LOC,4,LOC
What is the atomic weight of silver ?,5,NUM,1,ENTY
What currency do they use in Brazil ?,1,ENTY,1,ENTY
What are pathogens ?,2,DESC,2,DESC
What is mad cow disease ?,2,DESC,2,DESC
Name a food high in zinc .,1,ENTY,3,HUM
When did North Carolina enter the union ?,5,NUM,5,NUM
Where do apple snails live ?,4,LOC,2,DESC
What are ethics ?,2,DESC,2,DESC
What does CPR stand for ?,0,ABBR,2,DESC
What is an annuity ?,2,DESC,2,DESC
Who killed John F. Kennedy ?,3,HUM,3,HUM
Who was the first vice president of the U.S. ?,3,HUM,3,HUM
What birthstone is turquoise ?,1,ENTY,1,ENTY
Who was the first US President to ride in an automobile to his inauguration ?,3,HUM,3,HUM
How old was the youngest president of the United States ?,5,NUM,1,ENTY
When was Ulysses S. Grant born ?,5,NUM,5,NUM
What is Muscular Dystrophy ?,2,DESC,2,DESC
Who lived in the Neuschwanstein castle ?,3,HUM,3,HUM
What is propylene glycol ?,2,DESC,2,DESC
What is a panic disorder ?,2,DESC,2,DESC
Who invented the instant Polaroid camera ?,3,HUM,3,HUM
What is a carcinogen ?,2,DESC,2,DESC
What is a baby lion called ?,1,ENTY,1,ENTY
What is the world 's population ?,5,NUM,5,NUM
What is nepotism ?,2,DESC,2,DESC
What is die-casting ?,2,DESC,2,DESC
What is myopia ?,2,DESC,2,DESC
What is the sales tax rate in New York ?,5,NUM,5,NUM
Developing nations comprise what percentage of the world 's population ?,5,NUM,4,LOC
What is the fourth highest mountain in the world ?,4,LOC,4,LOC
What is Shakespeare 's nickname ?,3,HUM,1,ENTY
What is the heaviest naturally occurring element ?,1,ENTY,1,ENTY
When is Father 's Day ?,5,NUM,5,NUM
What does the acronym NASA stand for ?,0,ABBR,1,ENTY
How long is the Columbia River in miles ?,5,NUM,5,NUM
What city 's newspaper is called `` The Star '' ?,4,LOC,4,LOC
What is carbon dioxide ?,2,DESC,2,DESC
Where is the Mason/Dixon line ?,4,LOC,4,LOC
When was the Boston tea party ?,5,NUM,5,NUM
What is metabolism ?,2,DESC,2,DESC
Which U.S.A. president appeared on `` Laugh-In '' ?,3,HUM,3,HUM
What are cigarettes made of ?,1,ENTY,1,ENTY
What is the capital of Zimbabwe ?,4,LOC,4,LOC
What does NASA stand for ?,0,ABBR,1,ENTY
What is the state flower of Michigan ?,1,ENTY,1,ENTY
What are semiconductors ?,2,DESC,2,DESC
What is nuclear power ?,2,DESC,2,DESC
What is a tsunami ?,2,DESC,2,DESC
Who is the congressman from state of Texas on the armed forces committee ?,3,HUM,3,HUM
Who was president in 1913 ?,3,HUM,3,HUM
When was the first kidney transplant ?,5,NUM,5,NUM
What are Canada 's two territories ?,4,LOC,4,LOC
What was the name of the plane Lindbergh flew solo across the Atlantic ?,1,ENTY,1,ENTY
What is genocide ?,2,DESC,2,DESC
What continent is Argentina on ?,4,LOC,4,LOC
What monastery was raided by Vikings in the late eighth century ?,1,ENTY,4,LOC
What is an earthquake ?,2,DESC,2,DESC
Where is the tallest roller coaster located ?,4,LOC,4,LOC
What are enzymes ?,2,DESC,2,DESC
Who discovered oxygen ?,3,HUM,3,HUM
What is bangers and mash ?,2,DESC,2,DESC
What is the name given to the Tiger at Louisiana State University ?,1,ENTY,1,ENTY
Where are the British crown jewels kept ?,4,LOC,1,ENTY
Who was the first person to reach the North Pole ?,3,HUM,3,HUM
What is an ulcer ?,2,DESC,2,DESC
What is vertigo ?,2,DESC,2,DESC
What is the spirometer test ?,2,DESC,2,DESC
When is the official first day of summer ?,5,NUM,5,NUM
What does the abbreviation SOS mean ?,0,ABBR,2,DESC
What is the smallest bird in Britain ?,1,ENTY,1,ENTY
Who invented Trivial Pursuit ?,3,HUM,3,HUM
What gasses are in the troposphere ?,1,ENTY,1,ENTY
Which country has the most water pollution ?,4,LOC,3,HUM
What is the scientific name for elephant ?,1,ENTY,1,ENTY
Who is the actress known for her role in the movie `` Gypsy '' ?,3,HUM,3,HUM
What breed of hunting dog did the Beverly Hillbillies own ?,1,ENTY,1,ENTY
What is the rainiest place on Earth ?,4,LOC,4,LOC
Who was the first African American to win the Nobel Prize in literature ?,3,HUM,3,HUM
When is St. Patrick 's Day ?,5,NUM,5,NUM
What was FDR 's dog 's name ?,1,ENTY,1,ENTY
What colors need to be mixed to get the color pink ?,1,ENTY,1,ENTY
What is the most popular sport in Japan ?,1,ENTY,1,ENTY
What is the active ingredient in baking soda ?,1,ENTY,1,ENTY
When was Thomas Jefferson born ?,5,NUM,5,NUM
How cold should a refrigerator be ?,5,NUM,5,NUM
When was the telephone invented ?,5,NUM,5,NUM
What is the most common eye color ?,1,ENTY,1,ENTY
Where was the first golf course in the United States ?,4,LOC,4,LOC
What is schizophrenia ?,2,DESC,2,DESC
What is angiotensin ?,2,DESC,2,DESC
What did Jesse Jackson organize ?,3,HUM,1,ENTY
What is New York 's state bird ?,1,ENTY,1,ENTY
What is the National Park in Utah ?,4,LOC,4,LOC
What is Susan B. Anthony 's birthday ?,5,NUM,2,DESC
In which state would you find the Catskill Mountains ?,4,LOC,4,LOC
What do you call a word that is spelled the same backwards and forwards ?,1,ENTY,1,ENTY
What are pediatricians ?,2,DESC,2,DESC
"What chain store is headquartered in Bentonville , Arkansas ?",3,HUM,3,HUM
What are solar cells ?,2,DESC,2,DESC
What is compounded interest ?,2,DESC,2,DESC
What are capers ?,2,DESC,1,ENTY
What is an antigen ?,2,DESC,2,DESC
What currency does Luxembourg use ?,1,ENTY,1,ENTY
What is the population of Venezuela ?,5,NUM,1,ENTY
What type of polymer is used for bulletproof vests ?,1,ENTY,1,ENTY
What currency does Argentina use ?,1,ENTY,1,ENTY
What is a thermometer ?,2,DESC,1,ENTY
What Canadian city has the largest population ?,4,LOC,4,LOC
What color are crickets ?,1,ENTY,1,ENTY
Which country gave New York the Statue of Liberty ?,4,LOC,3,HUM
What was the name of the first U.S. satellite sent into space ?,1,ENTY,1,ENTY
What precious stone is a form of pure carbon ?,1,ENTY,1,ENTY
What kind of gas is in a fluorescent bulb ?,1,ENTY,1,ENTY
What is rheumatoid arthritis ?,2,DESC,2,DESC
"What river runs through Rowe , Italy ?",4,LOC,4,LOC
What is cerebral palsy ?,2,DESC,2,DESC
What city is also known as `` The Gateway to the West '' ?,4,LOC,4,LOC
How far away is the moon ?,5,NUM,5,NUM
What is the source of natural gas ?,1,ENTY,2,DESC
In what spacecraft did U.S. astronaut Alan Shepard make his historic 1961 flight ?,1,ENTY,1,ENTY
What is pectin ?,2,DESC,2,DESC
What is bio-diversity ?,2,DESC,2,DESC
What 's the easiest way to remove wallpaper ?,1,ENTY,1,ENTY
What year did the Titanic start on its journey ?,5,NUM,5,NUM
How much of an apple is water ?,5,NUM,5,NUM
Who was the 22nd President of the US ?,3,HUM,3,HUM
What is the money they use in Zambia ?,1,ENTY,5,NUM
How many feet in a mile ?,5,NUM,5,NUM
What is the birthstone of October ?,1,ENTY,1,ENTY
What is e-coli ?,2,DESC,2,DESC
