text,true_label,true_label_name,predicted_label,predicted_label_name
What state did the Battle of Bighorn take place in ?,4,LOC,3,HUM
Who was Abraham Lincoln ?,3,HUM,4,LOC
What do you call a newborn kangaroo ?,1,ENTY,1,ENTY
What are spider veins ?,2,DESC,4,LOC
What day and month did John Lennon die ?,5,NUM,3,HUM
What strait separates North America from Asia ?,4,LOC,3,HUM
What is the population of Seattle ?,5,NUM,1,ENTY
How much was a ticket for the Titanic ?,5,NUM,1,ENTY
What is the largest city in the world ?,4,LOC,4,LOC
What American composer wrote the music for `` West Side Story '' ?,3,HUM,3,HUM
Where is the Mall of the America ?,4,LOC,4,LOC
What is the pH scale ?,2,DESC,4,LOC
What type of currency is used in Australia ?,1,ENTY,3,HUM
"How tall is the Gateway Arch in St. Louis , MO ?",5,NUM,3,HUM
How much does the human adult female brain weigh ?,5,NUM,1,ENTY
Who was the first governor of Alaska ?,3,HUM,1,ENTY
What is a prism ?,2,DESC,3,HUM
When was the first liver transplant ?,5,NUM,4,LOC
Who was elected president of South Africa in 1994 ?,3,HUM,3,HUM
What is the population of China ?,5,NUM,3,HUM
When was Rosa Parks born ?,5,NUM,4,LOC
Why is a ladybug helpful ?,2,DESC,1,ENTY
What is amoxicillin ?,2,DESC,3,HUM
Who was the first female United States Representative ?,3,HUM,1,ENTY
What are xerophytes ?,2,DESC,4,LOC
What country did Ponce de Leon come from ?,4,LOC,3,HUM
The U.S. Department of Treasury first issued paper currency for the U.S. during which war ?,1,ENTY,3,HUM
What is desktop publishing ?,2,DESC,4,LOC
What is the temperature of the sun 's surface ?,5,NUM,4,LOC
What year did Canada join the United Nations ?,5,NUM,3,HUM
What is the oldest university in the US ?,3,HUM,4,LOC
Where is Prince Edward Island ?,4,LOC,4,LOC
"Mercury , what year was it discovered ?",5,NUM,3,HUM
What is cryogenics ?,2,DESC,3,HUM
What are coral reefs ?,2,DESC,1,ENTY
What is the longest major league baseball-winning streak ?,1,ENTY,3,HUM
What is neurology ?,2,DESC,3,HUM
Who invented the calculator ?,3,HUM,3,HUM
How do you measure earthquakes ?,2,DESC,3,HUM
Who is Duke Ellington ?,3,HUM,3,HUM
"What county is Phoenix , AZ in ?",4,LOC,3,HUM
What is a micron ?,2,DESC,4,LOC
"The sun 's core , what is the temperature ?",5,NUM,3,HUM
What is the Ohio state bird ?,1,ENTY,3,HUM
When were William Shakespeare 's twins born ?,5,NUM,1,ENTY
What is the highest dam in the U.S. ?,4,LOC,3,HUM
What color is a poison arrow frog ?,1,ENTY,1,ENTY
What is acupuncture ?,2,DESC,3,HUM
What is the length of the coastline of the state of Alaska ?,5,NUM,3,HUM
What is the name of Neil Armstrong 's wife ?,3,HUM,3,HUM
What is Hawaii 's state flower ?,1,ENTY,3,HUM
Who won Ms. American in 1989 ?,3,HUM,3,HUM
When did the Hindenberg crash ?,5,NUM,3,HUM
What mineral helps prevent osteoporosis ?,1,ENTY,3,HUM
What was the last year that the Chicago Cubs won the World Series ?,5,NUM,3,HUM
Where is Perth ?,4,LOC,4,LOC
What year did WWII begin ?,5,NUM,3,HUM
What is the diameter of a golf ball ?,5,NUM,1,ENTY
What is an eclipse ?,2,DESC,4,LOC
Who discovered America ?,3,HUM,3,HUM
What is the earth 's diameter ?,5,NUM,4,LOC
Which president was unmarried ?,3,HUM,4,LOC
How wide is the Milky Way galaxy ?,5,NUM,1,ENTY
During which season do most thunderstorms occur ?,5,NUM,3,HUM
What is Wimbledon ?,2,DESC,3,HUM
What is the gestation period for a cat ?,5,NUM,1,ENTY
How far is a nautical mile ?,5,NUM,1,ENTY
Who was the abolitionist who led the raid on Harper 's Ferry in 1859 ?,3,HUM,3,HUM
What does target heart rate mean ?,2,DESC,3,HUM
What was the first satellite to go into space ?,1,ENTY,3,HUM
What is foreclosure ?,2,DESC,3,HUM
What is the major fault line near Kentucky ?,1,ENTY,3,HUM
Where is the Holland Tunnel ?,4,LOC,4,LOC
Who wrote the hymn `` Amazing Grace '' ?,3,HUM,3,HUM
What position did Willie Davis play in baseball ?,3,HUM,3,HUM
What are platelets ?,2,DESC,4,LOC
What is severance pay ?,2,DESC,4,LOC
What is the name of Roy Roger 's dog ?,1,ENTY,3,HUM
Where are the National Archives ?,4,LOC,4,LOC
What is a baby turkey called ?,1,ENTY,4,LOC
What is poliomyelitis ?,2,DESC,3,HUM
What is the longest bone in the human body ?,1,ENTY,4,LOC
Who is a German philosopher ?,3,HUM,3,HUM
What were Christopher Columbus ' three ships ?,1,ENTY,3,HUM
What does Phi Beta Kappa mean ?,2,DESC,3,HUM
What is nicotine ?,2,DESC,2,DESC
What is another name for vitamin B1 ?,1,ENTY,3,HUM
Who discovered radium ?,3,HUM,3,HUM
What are sunspots ?,2,DESC,4,LOC
When was Algeria colonized ?,5,NUM,1,ENTY
What baseball team was the first to make numbers part of their uniform ?,3,HUM,3,HUM
What continent is Egypt on ?,4,LOC,1,ENTY
What is the capital of Mongolia ?,4,LOC,3,HUM
What is nanotechnology ?,2,DESC,3,HUM
In the late 1700 's British convicts were used to populate which colony ?,4,LOC,3,HUM
What state is the geographic center of the lower 48 states ?,4,LOC,3,HUM
What is an obtuse angle ?,2,DESC,1,ENTY
What are polymers ?,2,DESC,1,ENTY
When is hurricane season in the Caribbean ?,5,NUM,1,ENTY
Where is the volcano Mauna Loa ?,4,LOC,3,HUM
What is another astronomic term for the Northern Lights ?,1,ENTY,3,HUM
What peninsula is Spain part of ?,4,LOC,3,HUM
When was Lyndon B. Johnson born ?,5,NUM,3,HUM
What is acetaminophen ?,2,DESC,3,HUM
What state has the least amount of rain per year ?,4,LOC,1,ENTY
Who founded American Red Cross ?,3,HUM,3,HUM
What year did the Milwaukee Braves become the Atlanta Braves ?,5,NUM,3,HUM
How fast is alcohol absorbed ?,5,NUM,4,LOC
When is the summer solstice ?,5,NUM,5,NUM
What is supernova ?,2,DESC,3,HUM
Where is the Shawnee National Forest ?,4,LOC,3,HUM
What U.S. state 's motto is `` Live free or Die '' ?,4,LOC,3,HUM
Where is the Lourve ?,4,LOC,4,LOC
When was the first stamp issued ?,5,NUM,4,LOC
What primary colors do you mix to make orange ?,1,ENTY,3,HUM
How far is Pluto from the sun ?,5,NUM,1,ENTY
What body of water are the Canary Islands in ?,4,LOC,3,HUM
What is neuropathy ?,2,DESC,3,HUM
Where is the Euphrates River ?,4,LOC,3,HUM
What is cryptography ?,2,DESC,3,HUM
What is natural gas composed of ?,1,ENTY,3,HUM
Who is the Prime Minister of Canada ?,3,HUM,3,HUM
What French ruler was defeated at the battle of Waterloo ?,3,HUM,3,HUM
What is leukemia ?,2,DESC,3,HUM
Where did Howard Hughes die ?,4,LOC,3,HUM
What is the birthstone for June ?,1,ENTY,4,LOC
What is the sales tax in Minnesota ?,1,ENTY,3,HUM
What is the distance in miles from the earth to the sun ?,5,NUM,4,LOC
What is the average life span for a chicken ?,5,NUM,1,ENTY
When was the first Wal-Mart store opened ?,5,NUM,4,LOC
What is relative humidity ?,2,DESC,4,LOC
What city has the zip code of 35824 ?,4,LOC,3,HUM
What currency is used in Algeria ?,1,ENTY,3,HUM
Who invented the hula hoop ?,3,HUM,3,HUM
What was the most popular toy in 1957 ?,1,ENTY,3,HUM
What is pastrami made of ?,1,ENTY,3,HUM
What is the name of the satellite that the Soviet Union sent into space in 1957 ?,1,ENTY,3,HUM
What city 's newspaper is called `` The Enquirer '' ?,4,LOC,3,HUM
Who invented the slinky ?,3,HUM,3,HUM
What are the animals that don 't have backbones called ?,1,ENTY,3,HUM
What is the melting point of copper ?,5,NUM,3,HUM
Where is the volcano Olympus Mons located ?,4,LOC,3,HUM
Who was the 23rd president of the United States ?,3,HUM,1,ENTY
What is the average body temperature ?,5,NUM,1,ENTY
What does a defibrillator do ?,2,DESC,3,HUM
What is the effect of acid rain ?,2,DESC,3,HUM
What year did the United States abolish the draft ?,5,NUM,3,HUM
How fast is the speed of light ?,5,NUM,4,LOC
What province is Montreal in ?,4,LOC,3,HUM
What New York City structure is also known as the Twin Towers ?,4,LOC,3,HUM
What is fungus ?,2,DESC,4,LOC
What is the most frequently spoken language in the Netherlands ?,1,ENTY,3,HUM
What is sodium chloride ?,2,DESC,3,HUM
What are the spots on dominoes called ?,1,ENTY,3,HUM
How many pounds in a ton ?,5,NUM,1,ENTY
What is influenza ?,2,DESC,3,HUM
What is ozone depletion ?,2,DESC,3,HUM
What year was the Mona Lisa painted ?,5,NUM,4,LOC
What does `` Sitting Shiva '' mean ?,2,DESC,3,HUM
"What is the electrical output in Madrid , Spain ?",1,ENTY,3,HUM
Which mountain range in North America stretches from Maine to Georgia ?,4,LOC,3,HUM
What is plastic made of ?,1,ENTY,3,HUM
What is the population of Nigeria ?,5,NUM,3,HUM
What does your spleen do ?,2,DESC,3,HUM
Where is the Grand Canyon ?,4,LOC,4,LOC
Who invented the telephone ?,3,HUM,3,HUM
What year did the U.S. buy Alaska ?,5,NUM,3,HUM
What is the name of the leader of Ireland ?,3,HUM,3,HUM
What is phenylalanine ?,2,DESC,3,HUM
How many gallons of water are there in a cubic foot ?,5,NUM,4,LOC
What are the two houses of the Legislative branch ?,1,ENTY,4,LOC
What is sonar ?,2,DESC,3,HUM
"In Poland , where do most people live ?",4,LOC,3,HUM
What is phosphorus ?,2,DESC,3,HUM
What is the location of the Sea of Tranquility ?,4,LOC,4,LOC
How fast is sound ?,5,NUM,4,LOC
What French province is cognac produced in ?,4,LOC,3,HUM
What is Valentine 's Day ?,2,DESC,1,ENTY
What causes gray hair ?,2,DESC,3,HUM
What is hypertension ?,2,DESC,3,HUM
What is bandwidth ?,2,DESC,4,LOC
What is the longest suspension bridge in the U.S. ?,4,LOC,3,HUM
What is a parasite ?,2,DESC,4,LOC
What is home equity ?,2,DESC,3,HUM
What do meteorologists do ?,2,DESC,3,HUM
What is the criterion for being legally blind ?,1,ENTY,3,HUM
Who is the tallest man in the world ?,3,HUM,4,LOC
What are the twin cities ?,4,LOC,4,LOC
What did Edward Binney and Howard Smith invent in 1903 ?,1,ENTY,3,HUM
What is the statue of liberty made of ?,1,ENTY,3,HUM
What is pilates ?,2,DESC,3,HUM
What planet is known as the `` red '' planet ?,4,LOC,3,HUM
What is the depth of the Nile river ?,5,NUM,1,ENTY
What is the colorful Korean traditional dress called ?,1,ENTY,3,HUM
What is Mardi Gras ?,2,DESC,1,ENTY
Mexican pesos are worth what in U.S. dollars ?,5,NUM,3,HUM
Who was the first African American to play for the Brooklyn Dodgers ?,3,HUM,3,HUM
Who was the first Prime Minister of Canada ?,3,HUM,3,HUM
How many Admirals are there in the U.S. Navy ?,5,NUM,3,HUM
What instrument did Glenn Miller play ?,1,ENTY,3,HUM
How old was Joan of Arc when she died ?,5,NUM,3,HUM
What does the word fortnight mean ?,2,DESC,1,ENTY
What is dianetics ?,2,DESC,3,HUM
What is the capital of Ethiopia ?,4,LOC,3,HUM
For how long is an elephant pregnant ?,5,NUM,3,HUM
How did Janice Joplin die ?,2,DESC,3,HUM
What is the primary language in Iceland ?,1,ENTY,3,HUM
What is the difference between AM radio stations and FM radio stations ?,2,DESC,3,HUM
What is osteoporosis ?,2,DESC,3,HUM
Who was the first woman governor in the U.S. ?,3,HUM,3,HUM
What is peyote ?,2,DESC,4,LOC
What is the esophagus used for ?,2,DESC,1,ENTY
What is viscosity ?,2,DESC,3,HUM
What year did Oklahoma become a state ?,5,NUM,4,LOC
What is the abbreviation for Texas ?,0,ABBR,4,LOC
What is a mirror made out of ?,1,ENTY,1,ENTY
Where on the body is a mortarboard worn ?,4,LOC,4,LOC
What was J.F.K. 's wife 's name ?,3,HUM,3,HUM
What does I.V. stand for ?,0,ABBR,3,HUM
What is the chunnel ?,2,DESC,4,LOC
Where is Hitler buried ?,4,LOC,3,HUM
What are antacids ?,2,DESC,1,ENTY
What is pulmonary fibrosis ?,2,DESC,3,HUM
What are Quaaludes ?,2,DESC,4,LOC
What is naproxen ?,2,DESC,4,LOC
What is strep throat ?,2,DESC,4,LOC
What is the largest city in the U.S. ?,4,LOC,3,HUM
What is foot and mouth disease ?,1,ENTY,3,HUM
What is the life expectancy of a dollar bill ?,5,NUM,3,HUM
What do you call a professional map drawer ?,1,ENTY,1,ENTY
What are Aborigines ?,2,DESC,3,HUM
What is hybridization ?,2,DESC,3,HUM
What color is indigo ?,1,ENTY,1,ENTY
How old do you have to be in order to rent a car in Italy ?,5,NUM,1,ENTY
What does a barometer measure ?,1,ENTY,4,LOC
What color is a giraffe 's tongue ?,1,ENTY,1,ENTY
What does USPS stand for ?,0,ABBR,3,HUM
What year did the NFL go on strike ?,5,NUM,3,HUM
What is solar wind ?,2,DESC,4,LOC
What date did Neil Armstrong land on the moon ?,5,NUM,4,LOC
When was Hiroshima bombed ?,5,NUM,4,LOC
Where is the Savannah River ?,4,LOC,1,ENTY
Who was the first woman killed in the Vietnam War ?,3,HUM,3,HUM
What planet has the strongest magnetic field of all the planets ?,4,LOC,3,HUM
Who is the governor of Alaska ?,3,HUM,3,HUM
What year did Mussolini seize power in Italy ?,5,NUM,3,HUM
What is the capital of Persia ?,4,LOC,4,LOC
Where is the Eiffel Tower ?,4,LOC,4,LOC
How many hearts does an octopus have ?,5,NUM,1,ENTY
What is pneumonia ?,2,DESC,3,HUM
What is the deepest lake in the US ?,4,LOC,4,LOC
What is a fuel cell ?,2,DESC,4,LOC
Who was the first U.S. president to appear on TV ?,3,HUM,3,HUM
Where is the Little League Museum ?,4,LOC,4,LOC
What are the two types of twins ?,1,ENTY,4,LOC
What is the brightest star ?,4,LOC,4,LOC
What is diabetes ?,2,DESC,3,HUM
When was President Kennedy shot ?,5,NUM,4,LOC
What is TMJ ?,0,ABBR,4,LOC
What color is yak milk ?,1,ENTY,1,ENTY
What date was Dwight D. Eisenhower born ?,5,NUM,3,HUM
What does the technical term ISDN mean ?,0,ABBR,3,HUM
Why is the sun yellow ?,2,DESC,1,ENTY
What is the conversion rate between dollars and pounds ?,5,NUM,3,HUM
When was Abraham Lincoln born ?,5,NUM,3,HUM
What is the Milky Way ?,2,DESC,4,LOC
What is mold ?,2,DESC,3,HUM
What year was Mozart born ?,5,NUM,1,ENTY
What is a group of frogs called ?,1,ENTY,4,LOC
What is the name of William Penn 's ship ?,1,ENTY,3,HUM
What is the melting point of gold ?,5,NUM,3,HUM
What is the street address of the White House ?,4,LOC,3,HUM
What is semolina ?,2,DESC,4,LOC
What fruit is Melba sauce made from ?,1,ENTY,3,HUM
What is Ursa Major ?,2,DESC,4,LOC
What is the percentage of water content in the human body ?,5,NUM,3,HUM
How much does water weigh ?,5,NUM,1,ENTY
What was President Lyndon Johnson 's reform program called ?,1,ENTY,3,HUM
"What is the murder rate in Windsor , Ontario ?",5,NUM,3,HUM
Who is the only president to serve 2 non-consecutive terms ?,3,HUM,3,HUM
What is the population of Australia ?,5,NUM,3,HUM
Who painted the ceiling of the Sistine Chapel ?,3,HUM,3,HUM
Name a stimulant .,1,ENTY,3,HUM
What is the effect of volcanoes on the climate ?,2,DESC,3,HUM
What year did the Andy Griffith show begin ?,5,NUM,3,HUM
What is acid rain ?,2,DESC,4,LOC
What is the date of Mexico 's independence ?,5,NUM,3,HUM
What is the location of Lake Champlain ?,4,LOC,3,HUM
What is the Illinois state flower ?,1,ENTY,4,LOC
What is Maryland 's state bird ?,1,ENTY,3,HUM
What is quicksilver ?,2,DESC,4,LOC
Who wrote `` The Divine Comedy '' ?,3,HUM,3,HUM
What is the speed of light ?,5,NUM,4,LOC
What is the width of a football field ?,5,NUM,1,ENTY
Why in tennis are zero points called love ?,2,DESC,3,HUM
What kind of dog was Toto in the Wizard of Oz ?,1,ENTY,3,HUM
What is a thyroid ?,2,DESC,4,LOC
What does ciao mean ?,2,DESC,3,HUM
What is the only artery that carries blue blood from the heart to the lungs ?,1,ENTY,1,ENTY
How often does Old Faithful erupt at Yellowstone National Park ?,5,NUM,3,HUM
What is acetic acid ?,2,DESC,4,LOC
"What is the elevation of St. Louis , MO ?",5,NUM,3,HUM
What color does litmus paper turn when it comes into contact with a strong acid ?,1,ENTY,3,HUM
What are the colors of the German flag ?,1,ENTY,3,HUM
What is the Moulin Rouge ?,2,DESC,4,LOC
What soviet seaport is on the Black Sea ?,4,LOC,3,HUM
What is the atomic weight of silver ?,5,NUM,3,HUM
What currency do they use in Brazil ?,1,ENTY,3,HUM
What are pathogens ?,2,DESC,4,LOC
What is mad cow disease ?,2,DESC,4,LOC
Name a food high in zinc .,1,ENTY,3,HUM
When did North Carolina enter the union ?,5,NUM,3,HUM
Where do apple snails live ?,4,LOC,3,HUM
What are ethics ?,2,DESC,3,HUM
What does CPR stand for ?,0,ABBR,3,HUM
What is an annuity ?,2,DESC,3,HUM
Who killed John F. Kennedy ?,3,HUM,3,HUM
Who was the first vice president of the U.S. ?,3,HUM,3,HUM
What birthstone is turquoise ?,1,ENTY,3,HUM
Who was the first US President to ride in an automobile to his inauguration ?,3,HUM,3,HUM
How old was the youngest president of the United States ?,5,NUM,1,ENTY
When was Ulysses S. Grant born ?,5,NUM,1,ENTY
What is Muscular Dystrophy ?,2,DESC,3,HUM
Who lived in the Neuschwanstein castle ?,3,HUM,3,HUM
What is propylene glycol ?,2,DESC,3,HUM
What is a panic disorder ?,2,DESC,3,HUM
Who invented the instant Polaroid camera ?,3,HUM,3,HUM
What is a carcinogen ?,2,DESC,3,HUM
What is a baby lion called ?,1,ENTY,4,LOC
What is the world 's population ?,5,NUM,4,LOC
What is nepotism ?,2,DESC,3,HUM
What is die-casting ?,2,DESC,3,HUM
What is myopia ?,2,DESC,3,HUM
What is the sales tax rate in New York ?,5,NUM,3,HUM
Developing nations comprise what percentage of the world 's population ?,5,NUM,3,HUM
What is the fourth highest mountain in the world ?,4,LOC,4,LOC
What is Shakespeare 's nickname ?,3,HUM,4,LOC
What is the heaviest naturally occurring element ?,1,ENTY,4,LOC
When is Father 's Day ?,5,NUM,5,NUM
What does the acronym NASA stand for ?,0,ABBR,3,HUM
How long is the Columbia River in miles ?,5,NUM,1,ENTY
What city 's newspaper is called `` The Star '' ?,4,LOC,3,HUM
What is carbon dioxide ?,2,DESC,3,HUM
Where is the Mason/Dixon line ?,4,LOC,4,LOC
When was the Boston tea party ?,5,NUM,4,LOC
What is metabolism ?,2,DESC,4,LOC
Which U.S.A. president appeared on `` Laugh-In '' ?,3,HUM,3,HUM
What are cigarettes made of ?,1,ENTY,3,HUM
What is the capital of Zimbabwe ?,4,LOC,3,HUM
What does NASA stand for ?,0,ABBR,3,HUM
What is the state flower of Michigan ?,1,ENTY,3,HUM
What are semiconductors ?,2,DESC,3,HUM
What is nuclear power ?,2,DESC,3,HUM
What is a tsunami ?,2,DESC,3,HUM
Who is the congressman from state of Texas on the armed forces committee ?,3,HUM,3,HUM
Who was president in 1913 ?,3,HUM,3,HUM
When was the first kidney transplant ?,5,NUM,1,ENTY
What are Canada 's two territories ?,4,LOC,3,HUM
What was the name of the plane Lindbergh flew solo across the Atlantic ?,1,ENTY,3,HUM
What is genocide ?,2,DESC,3,HUM
What continent is Argentina on ?,4,LOC,3,HUM
What monastery was raided by Vikings in the late eighth century ?,1,ENTY,3,HUM
What is an earthquake ?,2,DESC,3,HUM
Where is the tallest roller coaster located ?,4,LOC,3,HUM
What are enzymes ?,2,DESC,4,LOC
Who discovered oxygen ?,3,HUM,3,HUM
What is bangers and mash ?,2,DESC,3,HUM
What is the name given to the Tiger at Louisiana State University ?,1,ENTY,3,HUM
Where are the British crown jewels kept ?,4,LOC,4,LOC
Who was the first person to reach the North Pole ?,3,HUM,1,ENTY
What is an ulcer ?,2,DESC,4,LOC
What is vertigo ?,2,DESC,3,HUM
What is the spirometer test ?,2,DESC,4,LOC
When is the official first day of summer ?,5,NUM,1,ENTY
What does the abbreviation SOS mean ?,0,ABBR,4,LOC
What is the smallest bird in Britain ?,1,ENTY,3,HUM
Who invented Trivial Pursuit ?,3,HUM,1,ENTY
What gasses are in the troposphere ?,1,ENTY,3,HUM
Which country has the most water pollution ?,4,LOC,3,HUM
What is the scientific name for elephant ?,1,ENTY,3,HUM
Who is the actress known for her role in the movie `` Gypsy '' ?,3,HUM,3,HUM
What breed of hunting dog did the Beverly Hillbillies own ?,1,ENTY,3,HUM
What is the rainiest place on Earth ?,4,LOC,1,ENTY
Who was the first African American to win the Nobel Prize in literature ?,3,HUM,3,HUM
When is St. Patrick 's Day ?,5,NUM,5,NUM
What was FDR 's dog 's name ?,1,ENTY,3,HUM
What colors need to be mixed to get the color pink ?,1,ENTY,3,HUM
What is the most popular sport in Japan ?,1,ENTY,3,HUM
What is the active ingredient in baking soda ?,1,ENTY,4,LOC
When was Thomas Jefferson born ?,5,NUM,4,LOC
How cold should a refrigerator be ?,5,NUM,1,ENTY
When was the telephone invented ?,5,NUM,4,LOC
What is the most common eye color ?,1,ENTY,1,ENTY
Where was the first golf course in the United States ?,4,LOC,4,LOC
What is schizophrenia ?,2,DESC,3,HUM
What is angiotensin ?,2,DESC,3,HUM
What did Jesse Jackson organize ?,3,HUM,3,HUM
What is New York 's state bird ?,1,ENTY,3,HUM
What is the National Park in Utah ?,4,LOC,3,HUM
What is Susan B. Anthony 's birthday ?,5,NUM,1,ENTY
In which state would you find the Catskill Mountains ?,4,LOC,1,ENTY
What do you call a word that is spelled the same backwards and forwards ?,1,ENTY,3,HUM
What are pediatricians ?,2,DESC,3,HUM
"What chain store is headquartered in Bentonville , Arkansas ?",3,HUM,3,HUM
What are solar cells ?,2,DESC,4,LOC
What is compounded interest ?,2,DESC,4,LOC
What are capers ?,2,DESC,1,ENTY
What is an antigen ?,2,DESC,4,LOC
What currency does Luxembourg use ?,1,ENTY,3,HUM
What is the population of Venezuela ?,5,NUM,3,HUM
What type of polymer is used for bulletproof vests ?,1,ENTY,3,HUM
What currency does Argentina use ?,1,ENTY,3,HUM
What is a thermometer ?,2,DESC,4,LOC
What Canadian city has the largest population ?,4,LOC,3,HUM
What color are crickets ?,1,ENTY,1,ENTY
Which country gave New York the Statue of Liberty ?,4,LOC,3,HUM
What was the name of the first U.S. satellite sent into space ?,1,ENTY,3,HUM
What precious stone is a form of pure carbon ?,1,ENTY,3,HUM
What kind of gas is in a fluorescent bulb ?,1,ENTY,3,HUM
What is rheumatoid arthritis ?,2,DESC,3,HUM
"What river runs through Rowe , Italy ?",4,LOC,3,HUM
What is cerebral palsy ?,2,DESC,3,HUM
What city is also known as `` The Gateway to the West '' ?,4,LOC,3,HUM
How far away is the moon ?,5,NUM,1,ENTY
What is the source of natural gas ?,1,ENTY,3,HUM
In what spacecraft did U.S. astronaut Alan Shepard make his historic 1961 flight ?,1,ENTY,3,HUM
What is pectin ?,2,DESC,4,LOC
What is bio-diversity ?,2,DESC,3,HUM
What 's the easiest way to remove wallpaper ?,1,ENTY,3,HUM
What year did the Titanic start on its journey ?,5,NUM,3,HUM
How much of an apple is water ?,5,NUM,1,ENTY
Who was the 22nd President of the US ?,3,HUM,4,LOC
What is the money they use in Zambia ?,1,ENTY,3,HUM
How many feet in a mile ?,5,NUM,1,ENTY
What is the birthstone of October ?,1,ENTY,4,LOC
What is e-coli ?,2,DESC,3,HUM
